id_cliente,nombre,email,segmento_demografico,tipo_contrato,fecha_alta
52,Instalaciones KKUC S.Coop.,caridadllano@example.net,Gran Empresa,Mensual,2021-08-05
53,Farmaceútica ZWIJ S.Coop.,groma@example.net,PYME,Premium,2023-09-25
54,Desarrollo del Noroeste S.A.,canovasruth@example.org,Startup,Premium,2023-03-15
55,Manufacturas TCGR S.L.,yfabregat@example.com,Startup,Mensual,2023-12-28
56,Grupo Guardiola S.A.,nadianavarrete@example.com,PYME,Anual,2022-12-12
57,Hernandez y Barriga S.L.L.,seguialejandro@example.org,Gran Empresa,Anual,2023-07-03
58,Comercial Ferrándiz S.L.U.,castroguillermo@example.org,Gran Empresa,Premium,2024-03-06
59,Farmaceútica Bravo S.A.T.,wribes@example.net,Gran Empresa,Premium,2024-05-22
60,Desarrollo Bejarano S.Com.,nataliaurrutia@example.net,PYME,Anual,2022-02-05
61,Talleres del Mediterráneo S.A.,sevemontana@example.com,Startup,Anual,2021-06-14
62,Farmaceútica Avanzadas S.Coop.,susanitapedrero@example.net,Gran Empresa,Anual,2025-06-28
63,Compañía AIM S.L.,bernarditallorente@example.net,Startup,Mensual,2023-09-13
64,Farmaceútica Salvador S.L.N.E,ypellicer@example.net,Gran Empresa,Anual,2022-07-18
65,Distribuciones del Mediterráneo S.A.,teresarosa@example.com,Startup,Anual,2024-03-09
66,Familia Santamaría S.L.L.,lcobos@example.org,Startup,Anual,2024-02-01
67,Comercializadora YJ S.L.,vacuna@example.org,Startup,Premium,2024-03-22
68,Comercial Roman S.A.,chamorromaristela@example.com,Gran Empresa,Premium,2021-05-12
69,Comercializadora Fabregat y asociados S.L.N.E,lorenzamartinez@example.net,Gran Empresa,Anual,2021-10-25
70,Benavides & Asociados S.Com.,estebanmorillo@example.org,PYME,Mensual,2024-01-09
71,Izquierdo y Jurado S.L.L.,brigidacalderon@example.net,Gran Empresa,Premium,2024-04-01
72,Logística Avanzadas S.A.,francisco73@example.net,Startup,Premium,2023-06-21
73,Grupo Guardiola S.L.N.E,wsaez@example.net,Startup,Mensual,2023-06-18
74,Manufacturas XC S.L.N.E,gisbertalberto@example.com,PYME,Anual,2023-04-24
75,Casal y Bermejo S.C.P,iguitart@example.net,PYME,Premium,2021-09-09
76,Font y Pla S.A.D,jaureguiaurelio@example.net,Startup,Mensual,2021-12-20
77,Jordi Carballo Bejarano S.A.,jcasares@example.org,PYME,Anual,2023-10-05
78,Sancho Jiménez Pelayo S.Coop.,alvarocabrera@example.net,PYME,Anual,2024-02-25
79,Hermanos Lucas S.L.L.,gjove@example.org,PYME,Premium,2024-06-06
80,Hermanos Orozco S.A.,ysastre@example.net,PYME,Anual,2022-10-17
81,Tecnologías MT S.A.,juanitacalatayud@example.org,PYME,Mensual,2021-08-17
82,Construcción Internacionales S.Com.,kperello@example.com,Gran Empresa,Premium,2021-11-04
83,Transportes Verdejo S.Coop.,borrelljuanita@example.org,Startup,Premium,2024-05-06
84,Alimentación del Norte S.L.N.E,angladafidel@example.org,Gran Empresa,Mensual,2021-01-17
85,Servicios Inteligentes S.A.,atenorio@example.org,Gran Empresa,Mensual,2025-05-14
86,Restauración HP S.A.,norbertomesa@example.com,Startup,Mensual,2024-01-21
87,Timoteo Toro Romero S.L.L.,blasconatalio@example.com,PYME,Premium,2023-01-26
88,Mulet y Morata S.L.N.E,enino@example.net,Gran Empresa,Premium,2023-01-08
89,Comercializadora del Mediterráneo S.Coop.,kcanellas@example.org,Gran Empresa,Premium,2024-11-09
90,Fábrica Olmedo & Asociados S.Com.,amilcarorozco@example.org,Startup,Mensual,2022-01-09
91,Restauración Iberia S.A.,teresita51@example.net,PYME,Mensual,2021-05-02
92,Abril y asociados S.Coop.,jolmedo@example.com,PYME,Mensual,2021-06-27
93,Soluciones Urrutia y asociados S.A.,adanmateo@example.net,Gran Empresa,Anual,2025-06-18
94,Genoveva Solé Arévalo S.Com.,srivero@example.org,PYME,Premium,2021-12-06
95,Restauración Española S.A.,mvalentin@example.com,Startup,Mensual,2024-05-03
96,Restauración Soriano & Asociados S.Coop.,teofilocolom@example.net,Gran Empresa,Premium,2024-02-15
97,Fábrica WFTI S.A.,narciso59@example.com,Startup,Anual,2021-06-13
98,Conesa y Viña S.L.,illabres@example.com,Gran Empresa,Anual,2025-07-30
99,Hotel Vargas S.L.,rrivero@example.net,Gran Empresa,Mensual,2023102,Grup100,Industrias Figueroa & Asociados S.L.,yprado@example.com,PYME,Mensual,2025-05-25
101,Soluciones AC S.C.P,pellicerteofila@example.net,Gran Empresa,Premium,2022-12-06
102,Promociones Fernandez y asociados S.A.D,hgalvez@example.com,Startup,Anual,2022-09-22
103,Natividad Pintor Aparicio S.Coop.,carlotazorrilla@example.net,PYME,Mensual,2021-07-24
104,Inversiones Internacionales S.A.,edugalvan@example.org,Startup,Anual,2024-01-31
105,Arévalo y asociados S.C.P,moranterosenda@example.com,Gran Empresa,Premium,2021-09-11
106,Alimentación Polo S.Com.,morataluisina@example.net,PYME,Premium,2022-10-07
107,Comercial Perea & Asociados S.Com.,doritapuerta@example.org,Gran Empresa,Anual,2021-01-23
108,Desarrollo Aparicio & Asociados S.L.N.E,vicenteruben@example.com,Gran Empresa,Mensual,2021-11-28
109,Arcos y asociados S.A.,jvidal@example.org,Startup,Premium,2021-06-20
110,Bautista y Jimenez S.Com.,xalcantara@example.net,Gran Empresa,Anual,2024-09-02
111,Sales y Cadenas S.L.,torrentsjenaro@example.net,Startup,Premium,2022-11-17
112,Grupo Coca S.L.,araceliaragones@example.org,Gran Empresa,Mensual,2021-02-13
113,Celestino Pol Bermudez S.L.N.E,alberdiluciana@example.com,Startup,Anual,2025-03-11
114,Familia Fuster S.L.N.E,valentinaguerra@example.org,Startup,Mensual,2024-01-10
115,Familia Casanova S.L.,omar62@example.net,Gran Empresa,Mensual,2023-10-12
116,Rocío Larrea Sáez S.Com.,gil64@example.com,PYME,Anual,2021-10-04
117,Grupo Osorio S.L.L.,yessica94@example.com,Gran Empresa,Anual,2021-06-23
118,Logística del Noroeste S.Coop.,pia80@example.com,Gran Empresa,Anual,2023-11-06
119,Hnos Pons S.Com.,nicolaujordi@example.net,Gran Empresa,Anual,2021-10-18
120,Montesinos y Rojas S.L.,blanca68@example.net,Gran Empresa,Mensual,2021-08-26
121,Dorita Gomis Galan S.Coop.,tzorrilla@example.com,PYME,Anual,2023-10-27
122,Salvà y asociados S.A.,zangel@example.org,Startup,Mensual,2023-11-19
123,Familia Ribas S.A.,julio-cesar66@example.com,PYME,Premium,2023-06-23
124,Finanzas Sanjuan S.Com.,teodosio95@example.net,PYME,Mensual,2023-02-19
125,Logística del Norte S.Com.,apallares@example.com,PYME,Premium,2025-02-07
126,Despacho XSIB S.L.L.,borjadominguez@example.org,Startup,Anual,2022-11-30
127,Comercial Inteligentes S.Com.,perla90@example.org,Startup,Anual,2022-02-02
128,Cabezas y Moll S.A.,soleradonato@example.com,PYME,Premium,2021-11-10
129,Soluciones Ramis & Asociados S.L.,capdevilarodrigo@example.org,Gran Empresa,Premium,2025-02-28
130,Transportes Blanes y asociados S.Coop.,almaarce@example.org,PYME,Premium,2023-02-23
131,Familia Rojas S.L.,panchopedrero@example.org,Startup,Mensual,2022-12-13
132,Meléndez & Asociados S.A.,trinidadmartinez@example.net,PYME,Premium,2025-05-04
133,Construcción Macías S.Com.,fabio70@example.com,PYME,Mensual,2022-07-30
134,Construcción Vidal S.A.,eufemia01@example.com,PYME,Anual,2024-04-11
135,Hermanos Salinas S.L.N.E,patriciopineda@example.net,PYME,Anual,2022-01-26
136,Inmobiliaria Muñoz y asociados S.L.L.,dolores64@example.com,Gran Empresa,Anual,2022-10-27
137,Transportes Gámez & Asociados S.L.,cuellarbautista@example.com,Gran Empresa,Mensual,2025-01-14
138,Silva y Carmona S.Com.,osvaldo15@example.org,PYME,Anual,2021-08-03
139,Fuente y Rojas S.L.L.,narcisovalverde@example.com,PYME,Premium,2021-08-01
140,Grupo Pérez S.L.N.E,ordonezivan@example.net,PYME,Premium,2022-01-19
141,Suministros XLH S.L.N.E,martin98@example.com,Startup,Mensual,2022-03-13
142,Barragán y asociados S.A.,vabad@example.org,Gran Empresa,Anual,2024-11-03
143,Morales y Peinado S.L.,mhernandez@example.com,Gran Empresa,Mensual,2022-12-31
144,Consultoría Integrales S.Coop.,bernarda87@example.org,PYME,Premium,2024-05-19
145,Amores y asociados S.L.,vrossello@example.net,Gran Empresa,Mensual,2022-07-01
146,Sales & Asociados S.L.,adancalzada@example.com,Gran Empresa,Anual,2022-01-16
147,Chaves & Asociados S.Coop.,plaovidio@example.org,Startup,Premium,2022-10-21
148,Construcción Echevarría S.L.L.,jesusa68@example.net,Startup,Anual,2021-08-20
149,Banco Iberia S.Com.,pilargracia@example.com,Startup,Mensual,2023-11-07
150,Manufacturas XPL S.A.T.,meleromiguel@example.org,PYME,Anual,2025-05-20
151,Transportes Herrera S.A.,amontesinos@example.com,Startup,Mensual,2021-05-12
152,Carbonell & Asociados S.A.,eescobar@example.com,Startup,Premium,2023-09-20
153,Hnos Durán S.Coop.,marc59@example.com,Startup,Premium,2023-10-26
154,Despacho Capdevila S.L.,hernancastell@example.com,Startup,Premium,2023-08-26
155,Llorens y Gargallo S.A.,amaro10@example.net,Gran Empresa,Anual,2024-09-30
156,Logística FFF S.Coop.,apedraza@example.com,Startup,Premium,2022-05-09
157,Téllez y Hervás S.Com.,ntrillo@example.com,Startup,Anual,2023-04-25
158,Finanzas Inteligentes S.A.,josep66@example.org,Gran Empresa,Anual,2021-05-07
159,Almeida y Lloret S.A.,fidelalago@example.org,Startup,Anual,2022-06-19
160,Logística Morán S.L.U.,amandamurillo@example.com,PYME,Mensual,2024-12-28
161,Instalaciones Ibérica S.A.,rubioema@example.net,Startup,Premium,2024-08-06
162,Logística Quesada y asociados S.L.N.E,gilmario@example.org,PYME,Anual,2022-12-28
163,Contreras y Flor S.L.,zvelez@example.org,PYME,Mensual,2021-12-26
164,Hermanos Sala S.L.U.,chus67@example.net,PYME,Mensual,2024-07-29
165,Tecnologías RUIV S.Com.,rogelio49@example.com,Startup,Anual,2023-04-27
166,Hidalgo y Galván S.Com.,qtomas@example.net,Gran Empresa,Anual,2025-07-01
167,Instalaciones CGQG S.L.L.,sllorens@example.net,PYME,Anual,2022-06-01
168,Solana y asociados S.L.,esparzafelix@example.net,PYME,Anual,2025-06-03
169,Supermercados Manso & Asociados S.Com.,jbarco@example.net,Gran Empresa,Mensual,2023-08-07
170,Pereira y asociados S.Coop.,santiagoverdejo@example.org,Gran Empresa,Anual,2023-11-30
171,Compañía Pi & Asociados S.L.L.,candelario72@example.org,Gran Empresa,Mensual,2021-11-05
172,Inmobiliaria Atienza S.Coop.,vascollorente@example.net,PYME,Premium,2022-05-01
173,Construcción Río y asociados S.L.,daniloheras@example.net,Gran Empresa,Mensual,2024-09-29
174,Tecnologías del Mediterráneo S.A.D,carrillovictorino@example.org,PYME,Mensual,2024-03-08
175,Comercializadora Collado S.Com.,jose-franciscosuarez@example.net,Startup,Premium,2023-11-21
176,Hnos Fiol S.L.L.,omendizabal@example.com,PYME,Mensual,2022-08-09
177,Consultoría Bermudez y asociados S.L.,jose-angelmacias@example.org,Startup,Mensual,2024-10-25
178,Logística Macías y asociados S.Coop.,econtreras@example.org,PYME,Premium,2023-08-28
179,Minería del Sur S.A.,paca13@example.net,Startup,Anual,2025-04-01
180,Julián Cabo Méndez S.L.,narciso60@example.net,PYME,Premium,2021-09-05
181,Álvaro & Asociados S.Com.,osunaadriana@example.com,Gran Empresa,Anual,2021-02-03
182,Soluciones Rivera S.A.,gpedrero@example.org,Gran Empresa,Premium,2023-06-30
183,Alcalá y Gimeno S.C.P,rodrigourena@example.net,Startup,Anual,2024-09-17
184,Gutierrez y Mata S.Com.,martorellesther@example.org,Startup,Mensual,2021-10-29
185,Jeremías Carrillo Valero S.L.N.E,maricruztorres@example.com,PYME,Mensual,2023-05-24
186,Finanzas JBL S.A.,scabrera@example.net,PYME,Premium,2023-01-08
187,Hotel Manjón y asociados S.C.P,virgilioparedes@example.net,PYME,Mensual,2021-01-14
188,Comercial SOFT S.A.,quirino35@example.org,Gran Empresa,Anual,2022-09-17
189,Crespo y asociados S.Coop.,mirta25@example.net,PYME,Premium,2021-05-12
190,Hermanos Cabezas S.L.N.E,priscilasantamaria@example.com,PYME,Mensual,2024-07-18
191,Compañía Aguirre S.A.T.,elorzamaristela@example.net,Gran Empresa,Premium,2022-12-16
192,Inversiones GHYZ S.Coop.,ayusoagueda@example.org,Startup,Premium,2024-11-14
193,Comercial del Noroeste S.L.,sarafonseca@example.net,PYME,Anual,2021-10-09
194,Banco NYL S.L.,abadlupe@example.org,Gran Empresa,Mensual,2021-12-27
195,Alimentación YCD S.L.,marcialcadenas@example.net,PYME,Mensual,2021-05-02
196,Restauración Mulet S.L.,benitezvalentina@example.org,Startup,Premium,2021-08-25
197,Zabaleta y Jordán S.L.U.,hpelayo@example.org,Gran Empresa,Mensual,2021-08-28
198,Tecnologías Pavón y asociados S.A.T.,victorpedraza@example.net,Startup,Mensual,2022-01-08
199,Servicios TC S.A.,ursula38@example.org,Gran Empresa,Mensual,2022-11-28
200,Lucena y Lara S.L.L.,aaronvina@example.net,Startup,Anual,2022-04-22
201,Clemente y Mercader S.A.,federico51@example.com,Startup,Premium,2025-03-01
202,Maxi Jerez Estevez S.L.,etelvina02@example.net,Startup,Anual,2021-04-03
203,Despacho Villar & Asociados S.L.,alemanponcio@example.com,PYME,Anual,2022-04-28
204,Despacho NM S.A.,bernalblanca@example.org,Startup,Mensual,2024-10-30
205,Saura y Arenas S.L.N.E,candido92@example.org,Startup,Anual,2025-02-27
206,Taboada y Sala S.Com.,verdejoestefania@example.net,PYME,Premium,2022-02-06
207,Familia Prado S.Coop.,loboremedios@example.org,Startup,Anual,2024-04-01
208,Instalaciones Oliver y asociados S.A.,harevalo@example.com,PYME,Anual,2021-08-19
209,Talleres Ballester y asociados S.A.,ucanellas@example.org,Gran Empresa,Anual,2025-03-28
210,Verdú y Mesa S.A.U,albino55@example.net,Gran Empresa,Anual,2023-06-12
211,Fátima Fajardo Campo S.L.,gracianopomares@example.org,Startup,Mensual,2022-03-02
212,Grupo Maldonado S.L.N.E,narino@example.org,Gran Empresa,Mensual,2023-06-14
213,Luis Cárdenas Camacho S.Com.,tbalaguer@example.org,PYME,Mensual,2021-10-20
214,Desarrollo Avanzadas S.L.N.E,cifuentesvicente@example.org,Gran Empresa,Anual,2024-05-30
215,Buenaventura Urrutia Morell S.A.U,iglesiajose-ramon@example.com,PYME,Premium,2021-05-31
216,Hermanos Orozco S.Coop.,amadoramos@example.com,Gran Empresa,Premium,2023-08-13
217,Ariño & Asociados S.Coop.,ozaragoza@example.org,Gran Empresa,Premium,2025-02-13
218,Familia Nicolás S.A.,qcamacho@example.com,Gran Empresa,Anual,2021-05-29
219,Distribuciones UNK S.L.,teobaldo88@example.com,Startup,Premium,2024-01-05
220,Avilés & Asociados S.A.,salvaedgar@example.net,PYME,Anual,2021-01-15
221,Comercial Iberia S.A.,anunciacionrubio@example.com,Gran Empresa,Anual,2021-10-28
222,Yésica Pedraza Cerezo S.A.,florencio68@example.com,Startup,Premium,2021-01-05
223,Hotel Barrena & Asociados S.Com.,cloe68@example.org,PYME,Mensual,2023-03-01
224,Cuesta & Asociados S.Com.,consuelo44@example.org,PYME,Anual,2021-03-14
225,Benito Narváez Perera S.A.U,pdiez@example.com,Gran Empresa,Mensual,2025-03-07
226,Hermanos Catalán S.L.N.E,nico61@example.org,Gran Empresa,Anual,2023-08-13
227,Hnos Blanch S.L.N.E,berrocalsarita@example.com,Startup,Anual,2021-10-12
228,Industrias del Levante S.L.,enriquezabril@example.org,Startup,Anual,2021-11-26
229,Promociones Teruel y asociados S.L.N.E,lcarbajo@example.net,Gran Empresa,Anual,2021-12-24
230,Distribuciones Pedrosa & Asociados S.A.,aaron52@example.com,Startup,Premium,2024-01-30
231,Roldan y asociados S.L.,manolo30@example.com,Gran Empresa,Anual,2023-02-03
232,Guzmán y asociados S.A.,inocencioespinosa@example.com,Gran Empresa,Mensual,2023-05-19
233,Logística Castellana S.L.L.,dfolch@example.com,Startup,Mensual,2022-11-11
234,Banco Chacón y asociados S.A.,baldomero51@example.net,PYME,Premium,2024-04-14
235,Instalaciones del Noroeste S.L.L.,marinjose-miguel@example.com,Gran Empresa,Mensual,2021-06-10
236,Viña y Andrade S.A.,godofredo13@example.net,PYME,Anual,2022-09-28
237,Grupo Manzanares S.C.P,leonardo38@example.com,Startup,Mensual,2024-02-01
238,Olivé y asociados S.L.N.E,rtejero@example.com,Gran Empresa,Premium,2021-04-05
239,Hermanos Rodriguez S.L.,balduinomanjon@example.org,Gran Empresa,Anual,2023-11-25
240,Inversiones Ibérica S.A.,jaimeferrandiz@example.com,PYME,Mensual,2024-02-02
241,Banco Avanzadas S.Com.,tomashernandez@example.com,PYME,Premium,2023-11-19
242,Grupo Armas S.L.,alexandra08@example.net,Gran Empresa,Premium,2023-10-26
243,Familia Molins S.Com.,kgarate@example.net,Startup,Anual,2021-03-18
244,Consultoría Pazos S.L.N.E,sanchezedu@example.net,Gran Empresa,Premium,2023-10-04
245,Robles & Asociados S.Coop.,friasnatanael@example.net,Gran Empresa,Anual,2021-12-04
246,Comercial XB S.Coop.,zorozco@example.org,Gran Empresa,Premium,2023-08-09
247,Despacho OKK S.L.,alcoleamarcelino@example.net,Gran Empresa,Anual,2023-04-09
248,Jose Ramón Anguita Garmendia S.A.,mariabarrios@example.org,Startup,Premium,2023-09-29
249,Miguel & Asociados S.A.,tiburcio71@example.net,PYME,Premium,2025-05-05
250,Farmaceútica Batlle & Asociados S.L.N.E,maria-belen57@example.com,Startup,Anual,2022-10-08
251,Soluciones Collado S.L.L.,maximobalaguer@example.com,PYME,Mensual,2022-11-12
252,Benavente y Caparrós S.L.L.,severonavarro@example.net,Gran Empresa,Anual,2023-09-16
253,Rivas y Piñeiro S.L.L.,opinilla@example.net,Gran Empresa,Premium,2021-01-06
254,Alimentación Iberia S.A.,lgisbert@example.com,PYME,Anual,2024-03-30
255,Borrego y asociados S.L.,montanadaniela@example.net,PYME,Anual,2023-10-08
256,Malena Tapia Nicolau S.L.,pbeltran@example.com,Gran Empresa,Mensual,2021-01-22
257,Supermercados del Noroeste S.L.,blanca80@example.net,Startup,Anual,2021-06-09
258,Jorge Montenegro Rosell S.L.,azenethalemany@example.org,Startup,Premium,2024-09-29
259,Talleres Españolas S.Com.,leocadiotello@example.com,PYME,Anual,2023-07-21
260,Grupo Muro S.Coop.,florindapolo@example.com,Startup,Mensual,2024-11-28
261,Fábrica Avanzadas S.Com.,monicaguerra@example.net,Startup,Premium,2022-06-10
262,Grupo Montserrat S.A.,azeneth52@example.com,Gran Empresa,Premium,2023-05-07
263,Desarrollo Dávila S.A.U,gervasiobaena@example.com,Gran Empresa,Mensual,2023-10-21
264,Javier Rius Sáez S.A.,roldanjulian@example.net,PYME,Mensual,2024-10-07
265,Industrias SAP S.Com.,mlucena@example.com,Startup,Anual,2023-03-05
266,Familia Parra S.L.,murnoelia@example.com,Gran Empresa,Mensual,2023-06-20
267,Grupo Peinado S.Com.,amorosmarita@example.com,PYME,Anual,2021-07-13
268,Griselda Cervera Miranda S.A.,jose-antoniodiaz@example.com,Gran Empresa,Anual,2021-10-03
269,Pont y asociados S.A.,cseco@example.com,Startup,Anual,2021-09-25
270,Josep Agudo Mendoza S.L.,santiagogeronimo@example.com,PYME,Anual,2023-01-31
271,Consultoría Espada S.L.L.,criadomaria-pilar@example.net,PYME,Mensual,2021-07-11
272,Carreño & Asociados S.C.P,nidiapina@example.net,PYME,Premium,2023-01-22
273,Belda y asociados S.L.N.E,pfuster@example.net,PYME,Mensual,2023-11-12
274,Distribuciones Fabra S.A.,ualonso@example.org,Gran Empresa,Mensual,2023-07-09
275,Hnos Bosch S.L.,juanbruno@example.org,PYME,Anual,2021-01-01
276,Loreto Haro Clemente S.Coop.,asuncion80@example.org,Startup,Mensual,2021-09-24
277,Vega y asociados S.L.N.E,florina21@example.org,Startup,Mensual,2022-03-04
278,Inversiones Iberia S.Com.,estradavictoriano@example.com,PYME,Mensual,2025-01-22
279,Borrás & Asociados S.A.,urubio@example.com,PYME,Anual,2024-08-02
280,Suministros Galvez & Asociados S.C.P,amparocano@example.net,Startup,Mensual,2023-09-12
281,Llopis y Lladó S.L.,gabrielapenas@example.net,PYME,Anual,2025-02-01
282,Julieta Catalán Amaya S.Coop.,paco63@example.org,Startup,Mensual,2024-09-06
283,Grupo Romero S.L.,venceslasnebot@example.com,PYME,Premium,2021-03-13
284,Supermercados Gonzalez & Asociados S.L.,vluque@example.org,Startup,Mensual,2021-04-04
285,Valenciano y Bárcena S.Coop.,arreguiisaura@example.com,PYME,Anual,2022-10-09
286,Rosell & Asociados S.L.,florina62@example.org,Gran Empresa,Premium,2021-03-10
287,Hotel Martinez & Asociados S.L.L.,purificacion46@example.org,PYME,Premium,2024-09-30
288,Alimentación Priego S.A.,maria-belencasal@example.com,PYME,Mensual,2022-01-07
289,Montes & Asociados S.Com.,alfredoalegre@example.net,Gran Empresa,Anual,2024-03-20
290,América Sanz Tovar S.A.,adriandavila@example.net,Startup,Mensual,2023-07-08
291,Talleres Salgado & Asociados S.L.,nydiacaballero@example.org,PYME,Mensual,2025-01-21
292,Guardia & Asociados S.Com.,paezisaac@example.com,PYME,Anual,2024-08-27
293,Hnos Sotelo S.L.,faustinobarbero@example.com,Gran Empresa,Anual,2021-07-26
294,Tecnologías Vilalta S.Coop.,mauriciocrespo@example.com,PYME,Mensual,2024-04-26
295,Instalaciones Galvez y asociados S.L.N.E,sportillo@example.net,PYME,Premium,2024-01-28
296,Hermanos Amaya S.L.,jose57@example.com,PYME,Mensual,2024-07-16
297,Familia Barceló S.A.,aroavazquez@example.org,Startup,Mensual,2025-07-06
298,Desarrollo Aguiló & Asociados S.A.,carreteroartemio@example.net,Gran Empresa,Mensual,2024-09-05
299,Catalá y Pinilla S.A.,rebeca25@example.com,Startup,Mensual,2024-06-24
300,Familia Jódar S.Coop.,dparejo@example.net,PYME,Anual,2022-01-29
301,Desarrollo Ponce & Asociados S.Coop.,estefania47@example.net,Gran Empresa,Mensual,2025-01-24
302,Estrada y Arana S.Coop.,pedrosaamarilis@example.com,PYME,Mensual,2024-11-17
303,Consultoría JZ S.Coop.,maritasaldana@example.net,PYME,Premium,2021-09-24
304,Bermudez y asociados S.Com.,ggalindo@example.org,PYME,Mensual,2023-08-30
305,Industrias Marqués y asociados S.A.U,marcoyago@example.com,PYME,Anual,2025-07-02
306,Logística Almagro y asociados S.L.,begona67@example.org,Startup,Anual,2025-05-27
307,Bernabé Cisneros Noriega S.A.,anastasiapaz@example.org,PYME,Premium,2025-06-22
308,Despacho Tejada y asociados S.Coop.,bernabe80@example.com,Gran Empresa,Premium,2022-05-24
309,Pozo & Asociados S.Com.,inocenciogalvez@example.com,Startup,Mensual,2023-10-26
310,Santamaria y Sastre S.L.N.E,calderonobdulia@example.org,Gran Empresa,Premium,2024-01-04
